"","value_m10","se_m10","value_m20","se_m20","value_m30","se_m30","value_m40","se_m40","value_m50","se_m50"
"n1000",2.08591251701643,0.0987297136820643,2.39324615105664,0.106424260949684,2.42613154925667,0.105658032241801,2.04098806043197,0.0945567861642756,2.22781921732279,0.105024300213055
"n4000",2.13797250402497,0.0500823099248897,2.1807409321105,0.0503969313158453,2.25249410220655,0.0510777225040772,2.19361654322496,0.0499994063777884,2.23965792915422,0.0514014708880361
"n16000",2.23591065276278,0.0255604176460489,2.19968502291959,0.0252892027823552,2.23690755821369,0.0255652780286722,2.23048897399375,0.0256223179286376,2.18711281572053,0.02539451482244
"n64000",2.20473624004806,0.0126103050296797,2.23733409249382,0.0127336363128356,2.21359489292575,0.0126490820029269,2.22269822038417,0.0126230058539643,2.20762932819423,0.0126345218644452
"n256000",2.21715812771161,0.00634242030600806,2.20807832042849,0.00632815532765742,2.20642148502768,0.00631871318804108,2.20979962027786,0.0063142629342808,2.21140367390664,0.00631821724530986
