"S1","S2","S3","S4","S5","S6","S7","S8","S9","S10"
100.68975057561,101.412423714412,101.16222851349,99.7877397743819,103.164505767678,101.485112833529,98.7848037397106,97.922260900372,96.7340662242117,99.0954241913795
104.234636401597,102.38189323246,103.65859204347,101.94485449028,104.572609716176,106.068298860718,103.973527772016,105.266832132535,105.18210471538,107.191770309003
113.485083249293,113.91659952876,111.341348678864,108.002563154742,107.447401321356,107.990702223617,108.773511848084,108.707151155685,105.865295808331,112.685876770303
113.802869914136,113.510534215926,110.689234890791,111.973472004326,109.458839073506,111.457188151207,107.943445028238,109.109460115095,107.428190826008,105.958069274169
98.783768760579,102.362665723901,102.510121831363,101.923873078555,100.645472209967,99.5149059558362,101.019818467897,102.520211084196,101.363034907882,106.769491235243
100.757357645018,99.3516325556056,99.465103233038,100.494937709522,97.7930792278677,98.4711015830333,96.49951716801,93.931335948873,96.7415841947276,95.602399712334
112.522928446338,110.966829998611,113.914232854113,114.850203347829,120.234935310055,120.90313752562,120.205720612972,122.007017526331,123.626052675976,117.260296170009
104.865081317258,105.972781790098,106.615810128708,106.757664490035,107.633152408028,104.260261950246,103.256711358652,101.185449401368,101.045414078532,101.234641557575
100.260307811417,96.5230943267709,95.2632964207264,96.0137186094734,94.0883641256402,94.799993293432,95.5614573933561,93.967049086295,93.5452675177126,96.5958326599932
98.0008494311059,97.1266499411396,96.4396066147948,93.4382617917215,91.4283738269044,88.6867201356146,87.6118403223518,89.5373104421139,90.1760170089339,88.6730144980822
